,optim_type,1,2,3,4,5,6,7,8,9,10
0,zinc,2.3040280498653454,,,,,,,,,
1,ctrl,0.268778983184911,0.27407767171390746,0.25638167835595205,0.24884740447329953,0.2607684528067555,0.2381132044557944,0.24938901131584668,0.25130634372642674,0.24635232620362169,0.27875185915450706
2,random,0.28536788586140593,0.24623699359616408,0.23516001725269087,0.2583634472017921,0.2818344290860517,0.2529062983732966,0.25783621028976145,0.24930707141708613,0.23877847848754205,0.2619486013511145
3,chimera,0.26971793091116086,0.3024381992317517,0.24497464879738373,0.22586545677608172,0.20261884529670596,0.23291037271097614,0.22753401724010583,0.2642621011596056,0.26158736405029287,0.27732267465238286
4,newchim,0.25021069382348826,0.1976898188114621,0.19340434978840948,0.19888325393661935,0.22721729791290413,0.1987797780306865,0.2108201891792864,0.2211439275990384,0.22035980655140022,0.24066711767587218
5,hv,0.2197576367667382,0.21178599904019443,0.2484823041861122,0.21242035232965376,0.257874218234582,0.2470574382903915,0.2133822466993435,0.24789892892614604,0.27159026885986476,0.25436909364868154
