,optim_type,1,2,3,4,5
0,zinc,"[66.23217702691868, 66.23217702691868, 66.23217702691868, 66.23217702691868, 66.23217702691868]",,,,
1,ctrl,68.2064185366192,68.19928266077741,67.71393115986639,69.32083486491103,65.5338448415925
2,random,63.73540564852087,62.85490844302971,63.637502977628344,62.26575957078525,62.57824864266957
3,chimera,71.02092480184668,68.19928266077741,69.99808169929427,69.2993033887395,69.79985012524631
4,hv,71.29579051136622,70.50149494282635,70.40450785888927,69.55139818239273,70.49300226970968
