,i,smi,qed,logp
0,0,c1ccc(-c2cccc(-c3cccc(-c4ccccn4)c3-c3cccc(-c4ccccc4)c3)c2)cc1,1.9695332111700523,-12.4
1,1,Cc1ccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)cc1N,1.8645380450470448,-12.3
2,2,Nc1ccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)cc1N,1.8544252236315586,-12.2
3,3,Nc1cc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)ccc1F,1.8842334623956525,-12.2
4,4,Oc1cccc(-c2cccc(-c3ccccc3-c3ccc(-c4ccccc4-c4ccccc4)cc3)c2)c1,1.727681531001993,-12.1
5,5,Nc1cc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)ccc1O,1.9182110401370593,-12.1
6,6,Nc1ccc(N)c(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)c1,1.9245894141398754,-12.1
7,7,Oc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4-c4ccccc4)c3)c2)c1,1.7370732664742956,-12.0
8,8,Oc1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1O,1.9247131457274378,-12.0
9,9,Cc1c(-c2ccccc2O)cccc1-c1ccccc1-c1cccc(-c2ccccc2)c1,1.943496356471213,-12.0
10,10,Cc1c(-c2ccccc2N)cccc1-c1ccccc1-c1cccc(-c2ccccc2)c1,1.9588184513975637,-12.0
11,11,Cc1cccc(-c2ccccc2-c2cccc(-c3ccccc3-c3ccccc3-c3ccccc3)c2)c1,1.6801328468938763,-11.9
12,12,Cc1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3O)c2)c1,1.8266853900208169,-11.9
13,13,Oc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4Cl)c3)c2)c1,1.865208563076047,-11.9
14,14,Cc1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2O)c1,1.9087233613811971,-11.9
15,15,Cc1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3-c3ccccc3N)c2)c1,1.9283412635407835,-11.9
16,16,Nc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)c1O,1.9353908871349663,-11.9
17,17,Cc1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2N)c1,1.9472834268476458,-11.9
18,18,Cc1ccc(-c2ccccc2-c2ccccc2-c2cccc(-c3ccccc3-c3cccc(C)c3)c2)cc1,1.7746907625344548,-11.8
19,19,Cc1cccc(-c2ccccc2-c2cccc(-c3cccc(-c4ccccc4-c4cccc(-c5ccccc5)c4)c3)c2)c1,1.7896008503579406,-11.8
20,20,Cc1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3N)c2)c1,1.8378403818375126,-11.8
21,21,Cc1cccc(-c2ccccc2-c2cccc(-c3ccccc3-c3ccccc3-c3ccc(Cl)cc3)c2)c1,1.8618709237909492,-11.8
22,22,Oc1c(Cl)cccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1,1.8901390049745732,-11.8
23,23,Nc1ccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)c(F)c1,1.9117312173550118,-11.8
24,24,Nc1cccc(-c2cccc(-c3c(-c4ccccc4)cccc3-c3ccccc3-c3ccccc3)c2)c1,1.9221757778754096,-11.8
25,25,Nc1ccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)c(N)c1,1.9237674828796472,-11.8
26,26,Nc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4-c4ccccc4)c3)c2)c1,1.7458013783624082,-11.7
27,27,Oc1ccccc1-c1cccc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccccc3)cc2)c1,1.700192147593178,-11.7
28,28,Fc1ccccc1-c1cccc(-c2ccccc2-c2cccc(Nc3ccccc3)c2)c1,1.830424849881501,-11.7
29,29,Oc1cccc(-c2cccc(-c3cccc(-c4ccccc4)c3-c3cccc(-c4ccccc4)c3)c2)c1,1.892230066176694,-11.7
30,30,Cc1ccc(-c2ccccc2-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)cc1N,1.933580401812927,-11.7
31,31,Oc1cccc(-c2cccc(-c3ccccc3-c3ccc(O)c(-c4ccccc4)c3)c2)c1,1.9492955381406105,-11.7
32,32,Fc1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1,1.6148239422944002,-11.6
33,33,Cc1cccc(-c2cccc(-c3ccccc3-c3ccc(-c4ccccc4-c4ccccc4)cc3)c2)c1,1.672834398134862,-11.6
34,34,c1ccc(-c2cccc(-c3ccccc3-c3ccc(-c4ccccc4-c4ccccc4)cc3)c2)cc1,1.4419543171345577,-11.6
35,35,Nc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)c1,1.6778615677124602,-11.6
36,36,Oc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)c1,1.6674257817592828,-11.6
37,37,Nc1c(-c2ccccc2)cccc1-c1ccccc1-c1cccc(-c2ccccc2)c1,1.7734896381150804,-11.6
38,38,Fc1cc(-c2ccccc2-c2cccc(-c3ccccc3)c2)ccc1-c1ccccc1-c1ccccc1,1.7995539822606066,-11.6
39,39,Nc1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3F)c2)c1,1.8499454554872656,-11.6
40,40,Nc1ccc(-c2cccc(-c3ccccc3-c3ccccc3-c3ccccc3)c2)cc1N,1.8755520021321104,-11.6
41,41,c1ccc(-c2ccccc2-c2ccccc2-c2cccc(-c3ccccc3-c3cccc(-c4ccncc4)c3)c2)cc1,1.8847905487465813,-11.6
42,42,Nc1c(Cl)cccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1,1.902061427233166,-11.6
43,43,Nc1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3O)c2)c1,1.9037392361746637,-11.6
44,44,Nc1cc(F)ccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1,1.9228096134270238,-11.6
45,45,Oc1c(-c2ccccc2F)cccc1-c1ccccc1-c1cccc(-c2ccccc2)c1,1.9275644415775979,-11.6
46,46,Nc1cc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)ccn1,1.9311720389797955,-11.6
47,47,Oc1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1F,1.9755885004974,-11.7
48,48,Cc1cccc(-c2cccc(-c3ccccc3)c2)c1-c1cccc(-c2ccccc2)c1,1.711922414034813,-11.5
49,49,c1ccc(-c2cc(-c3ccccc3-c3ccc(-c4ccccc4-c4ccccc4)cc3)ccn2)cc1,1.7343105949280826,-11.5
50,50,Oc1c(-c2ccccc2)cccc1-c1ccccc1-c1cccc(-c2ccccc2)c1,1.7340913103558826,-11.5
51,51,Nc1ccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)cc1Cl,1.8804979468473721,-11.5
52,52,Cc1cccc(-c2cccc(-c3ccccc3-c3ccc(-c4ccccc4-c4ccccc4)cc3)c2)n1,1.8988591391433527,-11.5
53,53,Nc1cccc(Oc2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)c1,1.9007578269525176,-11.5
