,i,smi,qed,logp,sas
0,0,Clc1ccccc1CCCC1CCCCCCC1,0.6234348650071114,6.023200000000004,1.7558865435535989
1,1,c1ccc(C2CCCCCCC2)c(OCC2CCCC2)c1,0.6510729863714717,6.083500000000005,1.9137996643882147
2,2,c1ccc(C2CCCCCC2)c(OCC2CCCCC2)c1,0.6090529704340725,6.083500000000005,1.9137996643882147
3,3,c1cc(C2CCCCCCC2)ccc1OCCC1CCCC1,0.6048916479993408,6.473600000000006,1.8987464341098335
4,4,c1ccc(C2CCCCCCC2)c(OCC2CCCCC2)c1,0.6185446828960046,6.473600000000006,1.9302569236203233
5,5,c1ccc(C2CCCCC2)c(OCC2CCCCCCC2)c1,0.6185446828960046,6.473600000000006,1.9302569236203233
6,6,CCCCCc1ccc(C2CCCCCCC2)c(O)c1,0.6574056457686865,5.952800000000006,1.9449669890253887
7,7,c1ccc(C2CCCCCCC2)c(OC2CCCCC2)c1,0.6400158404778306,6.226000000000005,1.953863400651949
8,8,CCCCCc1ccc(O)c(C2CCCCCCC2)c1,0.6574056457686867,5.952800000000005,1.9498799863728706
9,9,COc1cc(C2CCCCCCC2)ccc1C1CCCCC1,0.6130136373121666,6.570800000000006,1.976932824642379
10,10,COc1cc(C2CCCCC2)ccc1C1CCCCCCC1,0.6130136373121666,6.5708000000000055,1.976932824642379
11,11,CCCCCCc1ccc(C2CCCCCCC2)c(O)c1,0.6051792739375702,6.342900000000006,1.9636151210626878
12,12,c1ccc(C2CCCCCCC2)c(OCCC2CCCC2)c1,0.6048916479993408,6.473600000000006,1.9582555250189237
13,13,CCCCCc1ccc(C2CCCCCCC2)cc1O,0.6574056457686865,5.952800000000006,1.9824423205903763
14,14,CCCCCc1cccc(C2CCCCCCC2)c1O,0.6574056457686865,5.952800000000006,2.002588474436532
15,15,CCCCCc1ccc(CC2CCCCCCC2)cc1O,0.6337359363141712,6.027900000000006,2.008099862550708
16,16,CCCCCCc1ccc(C2CCCCCCC2)cc1O,0.6051792739375702,6.342900000000006,1.9992474035343122
17,17,CCOc1ccc(C2CCCCCCC2)c(C2CCCC2)c1,0.6106359431411327,6.570800000000006,2.031235309849478
18,18,Oc1cc(C2CCCCCCC2)ccc1N1CCCCCCC1,0.7241861907899467,5.990600000000005,2.0340366055530197
19,19,CCCCCCc1cccc(C2CCCCCCC2)c1O,0.6051792739375702,6.342900000000006,2.018402762929016
