0,CCCc1ccccc1Cc1ccccc1,[0.70809276 4.2299     1.49855502] 
1,COCCc1ccccc1Nc1ccsc1,[0.85022715 3.6806     2.15042605] 
2,c1ccc(COc2ccccc2CCC2CCCO2)cc1,[0.78262285 4.3772     2.22067197] 
3,COc1ccccc1CC1CCC(O)(c2ccccc2)C1,[0.92050633 3.9256     2.8238902 ] 
4,CCC=CC=C(C)c1ccccc1-c1ccccc1NC,[0.68452441 5.7648     2.4492367 ] 
5,COc1ccccc1CC1CCCC1(O)c1ccccc1,[0.92050633 3.9256     2.85562513] 
6,Cc1ccc(C=CCc2ccccc2Cl)o1,[0.75969426 4.49732    2.2596147 ] 
7,CCCCOc1ccccc1-c1cccs1,[0.68480161 4.594      1.736211  ] 
8,OCc1ccsc1Cc1ccccc1Cl,[0.8681552  3.4846     2.27608124] 
9,COc1ccccc1CCCNc1ccsc1,[0.78388687 3.8014     1.9965952 ] 
10,OCc1ccccc1-c1ccsc1CCCF,[0.85519397 3.8095     2.48342043] 
11,OCc1ccccc1-c1ccsc1CCCCl,[0.80885159 4.0788     2.4070603 ] 
12,COc1ccccc1CCCOc1ccccc1OC,[0.71900018 3.7154     1.54834869] 
13,COc1ccccc1CCCCOc1ccccc1OC,[0.68359752 4.1055     1.57777275] 
14,COCCCNc1cscc1-c1ccccc1,[0.78251202 3.8635     2.19409397] 
15,COc1ccccc1C(C)(F)C(O)c1ccccc1,[0.90951583 3.6135     2.81971698] 
16,CCc1[nH]ncc1CCCc1ccccc1C,[0.83384461 3.45582    2.31172529] 
17,CCCNCc1ccsc1Cc1ccccc1CC,[0.73724761 4.4009     2.33769006] 
18,COc1ccccc1CCC1CCOC1c1ccccc1,[0.80863859 4.4056     2.80823757] 
19,COc1cccc(O)c1CCOC(C)Cc1ccccc1,[0.84504919 3.5911     2.50936592] 
20,CCC=CC=C(C)c1ccccc1-c1ccccc1CCNC,[0.66737978 5.485      2.4908132 ] 
21,CC(C)c1ccsc1CCNCc1ccsc1,[0.76933278 4.2653     2.593503  ] 
22,CCCNc1ccccc1Cl,[0.73323312 3.1619     1.49032391] 
23,CC1=CC(=CCc2ccccc2O)C=CCCC1,[0.80381602 4.5475     2.99470655] 
24,OC1OCCC1CCc1ccccc1OCc1ccccc1,[0.88605993 3.5531     2.85376249] 
25,c1ccc(CCCc2ccco2)cc1,[0.71234969 3.4549     1.61121795] 
26,FCCNc1ccccc1CNc1ccccccnnc1,[0.8553557  3.5945     2.73530477] 
27,CC(C)Cc1ccccc1CCCCCc1ccccn1,[0.60325808 5.2356     1.9513783 ] 
28,CCCOc1ccccc1CC(C)C,[0.69125604 3.6739     1.64280366] 
29,CCCC(C)CCC=Cc1ccccc1O,[0.73819267 4.6218     2.68267924] 
30,COc1ccccc1CCc1ccccc1C1(O)CCO1,[0.91687211 3.0458     2.71361515] 
31,O=CCc1ccccc1CCNc1ccccc1,[0.78481016 3.0826     1.92523284] 
32,C=Cc1ccccc(CCCCC)cccc1,[0.60625794 5.1867     1.98914862] 
33,CCCCc1sccc1-c1occc1CC,[0.71585262 4.9131     2.73087155] 
34,CCCCCCCCc1ccccc1CO,[0.65438891 4.0819     1.7242351 ] 
35,CCc1ccccc1CCCCCc1ccnnc1C,[0.69951901 4.30292    2.2676516 ] 
36,CCc1cc[nH]c1CCc1ccccc1,[0.77678535 3.3623     2.15677123] 
37,Cc1ccccc1CC(C)c1cccs1,[0.71293917 4.40272    2.43572385] 
38,COc1sccc1C=CCNc1ccsc1,[0.86863921 3.9435     3.1372326 ] 
39,CCc1ccccc1NCc1cn[nH]c1CC,[0.82654417 3.1466     2.36031399] 
40,COc1ccccc1CCC1CCOC1(O)c1ccccc1,[0.91778901 3.5096     3.12527538] 
41,ClC1=CCCC(CCCc2ccccc2)CO1,[0.76372823 4.5161     2.90982658] 
42,CCCc1nnccc1-c1ccccc1CCCC1=CO1,[0.75901223 4.2904     2.74911878] 
43,Cc1ccccc1OCCCCCCc1ccnnc1C,[0.67876741 4.27534    2.16185346] 
44,CCC(=CCl)CCc1ccccc1CC,[0.67679372 4.7143     2.44383092] 
45,CCCCOc1ccccc1CCCC(C)C,[0.58451258 4.8442     1.711431  ] 
46,CCCCc1ccsc1CCNCc1ccsc1,[0.70230981 4.4845     2.51410977] 
47,CCCCC1(c2cc[nH]c2CCC)CCCC1,[0.71377443 4.9692     2.87664837] 
48,ClCOc1ccccc1CCOc1cc[nH]c1CCl,[0.78561614 3.9501     2.75922489] 
49,CCC=Cc1ccccc1COCCCOc1ccccc1,[0.59962565 5.0955     2.05937069] 
50,Clc1ccccc1CCCC1CCOC1,[0.75801224 3.6992     2.42388304] 
51,CCCCC1CCCCCCCCCCC1,[0.54328726 6.0975     2.11062601] 
52,CNCc1ccccc1CCC(C)C,[0.75414302 2.9946     1.85310189] 
53,NCc1ccccc1-c1ccncc1CF,[0.85624577 2.6768     2.28763811] 
54,CCCc1ccccc1CC(C)C,[0.65360555 3.8376     1.71778206] 
55,CCc1ccccc1C1=CC=CC=C(C)CC1,[0.66793642 4.9287     2.58258715] 
56,CCc1ccccc1CCCC1(C)CC=CC=CC1,[0.65199899 5.4842     2.76686293] 
57,CCc1ccccc1CCCNCC=Cc1ccccc1CF,[0.64581688 4.9541     2.42717146] 
58,COc1ccccc1OC1(c2ccccc2)OCCC1C,[0.84952694 3.9834     3.19064077] 
59,CCCCCCCc1ccccc1F,[0.59087289 4.3386     1.50709866] 
60,CCCCNCCCCC=Cc1ccccc1C,[0.62845932 4.56822    2.04992489] 
61,CCC=CCOc1[nH]ccc1Cc1ccccc1,[0.76096944 3.9505     2.68109177] 
62,C=C1CCCC=CC=C1CNc1ccsc1,[0.81354773 4.3827     3.24667908] 
63,Cc1ccccc1OCCCCCCCc1ccnnc1C,[0.63120655 4.66544    2.17243153] 
64,NCCc1ccccc1-c1cnccc1F,[0.85514586 2.3889     2.08662506] 
65,CCCCCCCOc1ccccc1,[0.59242473 4.0358     1.3257864 ] 
