,i,smi,qed,logp,sas
0,0,CCCNC1CCCCCCCCCCCCCCCC1,0.617390205682307,6.609800000000007,2.171034321779821
1,1,CCNC1CCCCCCCCCCCCCCCCC1,0.6040754699030942,6.609800000000008,2.1107768721625675
2,2,Cc1ccccc1CNC1CCCCCCCCCCCCCC1,0.6337480049784433,6.928220000000008,2.2491629604998433
3,3,c1coc(CNC2CCCCCCCCCCCCCCC2)c1,0.6783581834859911,6.602900000000007,2.3858816398798144
4,4,c1coc(CCC2CCCCCCCCCCCC2)c1,0.6119105905125293,6.523200000000006,2.386531174003103
5,5,FCCNC1CCCCCCCCCCCCCCCCC1,0.6218531968957369,6.559400000000007,2.397524377925942
6,6,c1coc(CNC2CCCCCCCCCCCCCCCC2)c1,0.6442921826390934,6.993000000000007,2.404045490293994
7,7,c1coc(CNCC2CCCCCCCCCCCCCC2)c1,0.6885394335869488,6.460400000000007,2.4290114057661025
8,8,c1cc(CN2CCCCCCCCCCCCCCCC2)co1,0.6136893192064453,6.5566000000000075,2.445082977672456
9,9,c1coc(CNCC2CCCCCCCCCCCCCCC2)c1,0.6514235618069124,6.850500000000007,2.4453781826016847
10,10,OCc1ccccc1CNCC1CCCCCCCCCCCCCC1,0.6408563629133759,6.359700000000006,2.445510782161241
11,11,c1coc(COC2CCCCCCCCCCCCCC2)c1,0.6242016462741192,6.639800000000006,2.459993560973249
12,12,c1coc(COCC2CCCCCCCCCCCCC2)c1,0.6333726765758104,6.497300000000006,2.460306148385836
13,13,Cc1occc1CN1CCCCCCCCCCCCCCC1,0.6203806613551884,6.474920000000007,2.4897632058841435
14,14,c1cc(CNC2CCCCCCCCCCCCCCC2)co1,0.6783581834859911,6.602900000000007,2.5352655863681086
15,15,c1cc(CNC2CCCCCCCCCCCCCCCC2)co1,0.6442921826390935,6.993000000000007,2.547205105678607
16,16,Cc1ccoc1CN1CCCCCCCCCCCCCCC1,0.6203806613551884,6.474920000000007,2.5569801742099347
17,17,c1cc(CNC2CCCCCCCCCCCCCCCCC2)co1,0.6165612196261175,7.383100000000009,2.5608090763267697
18,18,Cc1occc1CC1CCCCCCCCCCCC1,0.6053335026888113,6.441520000000006,2.5518895312390892
19,19,Cc1cc(NCC2CCCCCCCCCCCCCCC2)no1,0.654626667070023,6.876220000000007,2.56760694749876
20,20,Cc1occc1CNC1CCCCCCCCCCCCCC1,0.6856030246896019,6.521220000000007,2.5763586809972647
21,21,c1cc(CNCC2CCCCCCCCCCCCCC2)co1,0.6885394335869488,6.460400000000007,2.581467593057072
22,22,Cc1occc1CNC1CCCCCCCCCCCCCCC1,0.649689054506118,6.911320000000007,2.586320706978716
23,23,c1cc(CCNC2CCCCCCCCCCCCCCC2)co1,0.6673310059680204,6.6454000000000075,2.588191644140146
24,24,c1cc(CNCC2CCCCCCCCCCCCCCC2)co1,0.6514235618069125,6.850500000000007,2.5914820287555322
25,25,COc1cnccc1CNCC1CCCCCCCCCCCCCCC1,0.6253478922785181,6.661100000000007,2.5963407635266105
26,26,Cc1occc1CNC1CCCCCCCCCCCCCCCC1,0.6201413402376604,7.301420000000007,2.598126032667727
27,27,c1cc(CNCC2CCCCCCCCCCCCCCCC2)co1,0.6206147503397977,7.240600000000008,2.6033149224806174
28,28,Cc1occc1NC1CCCCCCCCCCCCC1,0.6766452386897438,6.453420000000006,2.6122394953217505
29,29,Cc1occc1NC1CCCCCCCCCCCCCC1,0.6464336646131255,6.843520000000006,2.6155142387570027
30,30,c1coc(NC2CCCCCCCCCCCCCC2)c1,0.6692814051054781,6.535100000000006,2.6164324056372426
31,31,c1coc(NC2CCCCCCCCCCCCCCC2)c1,0.6407843886678485,6.9252000000000065,2.619897756777444
32,32,Cc1occc1NC1CCCCCCCCCCCCCCC1,0.6214431309993214,7.233620000000006,2.621330174209934
33,33,CCNCC1(CC)CCCCCCCCCCCCCC1,0.6266205905525438,6.467300000000008,2.6227017985394223
34,34,CC1CCCCCCCC(NCc2ccoc2)CCCCCCC1,0.6540753364637472,6.8489000000000075,2.623053968083809
35,35,Cc1occc1CNCC1CCCCCCCCCCCCC1,0.6963356114640148,6.378720000000007,2.6242643371058616
36,36,COCc1ccncc1NC1CCCCCCCCCCCCCCC1,0.6355972021100174,6.873600000000008,2.6308460468965063
37,37,Cc1occc1CNCC1CCCCCCCCCCCCCC1,0.6574731025531729,6.768820000000008,2.632202180434838
38,38,Cc1occc1CNCC1CCCCCCCCCCCCCCC1,0.6247920924827396,7.158920000000008,2.6421474463891403
39,39,NCc1ccc(CCC2CCCCCCCCCCCCCC2)o1,0.66059342207656,6.762100000000008,2.6430723862853256
40,40,Cc1occc1OCC1CCCCCCCCCCCCC1,0.6220245443357504,6.667920000000006,2.6455518718930975
41,41,NCc1ccc(CC2CCCCCCCCCCCCCC2)o1,0.7024754884073043,6.372000000000008,2.641470219458803
42,42,c1cc(NCC2CCCCCCCCCCCCCCCC2)no1,0.6490414355164248,6.9579000000000075,2.646741644140146
43,43,Cc1occc1COCC1CCCCCCCCCCCC1,0.640447079380081,6.415620000000007,2.649688676626827
44,44,Cc1occc1COCC1CCCCCCCCCCCCC1,0.6079554624908197,6.805720000000007,2.6539969162913817
45,45,CCc1occc1CNC1CCCCCCCCCCCCCC1,0.6569868102383036,6.775200000000008,2.656951692894209
46,46,NCc1ccc(CC2CCCCCCCCCCCCCCCC2)o1,0.6300714251855115,7.1522000000000086,2.657958257199951
47,47,CNCc1ccc(CC2CCCCCCCCCCCCCCC2)o1,0.6325745085737202,7.022800000000008,2.6585532675949626
48,48,Cc1ccoc1CC1CCCCCCCCCCCC1,0.6053335026888113,6.441520000000006,2.644830078827093
49,49,NCc1ccoc1CN1CCCCCCCCCCCCCCCCC1,0.6756629346130949,6.405400000000007,2.6591857072361673
50,50,NCc1ccc(CCCC2CCCCCCCCCCCCCC2)o1,0.6137740490774198,7.1522000000000086,2.6609370513787454
51,51,c1cc(NC2CCCCCCCCCCCCCC2)co1,0.6692814051054781,6.535100000000006,2.6616565814614184
